,State Name,county Name,State Code,County Code,DATE,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
80316,Maryland,Anne Arundel,24,3,2024-07-25,61,Moderate,Ozone,24-003-1004,1
80317,Maryland,Anne Arundel,24,3,2024-07-26,46,Good,Ozone,24-003-1004,1
80318,Maryland,Anne Arundel,24,3,2024-07-27,44,Good,Ozone,24-003-1004,1
80319,Maryland,Anne Arundel,24,3,2024-07-28,90,Moderate,Ozone,24-003-1004,1
80320,Maryland,Anne Arundel,24,3,2024-07-29,71,Moderate,Ozone,24-003-1004,1
80321,Maryland,Anne Arundel,24,3,2024-07-30,36,Good,Ozone,24-003-1004,1
80322,Maryland,Anne Arundel,24,3,2024-07-31,71,Moderate,Ozone,24-003-1004,1
80323,Maryland,Anne Arundel,24,3,2024-08-01,129,Unhealthy for Sensitive Groups,Ozone,24-003-1004,1
80324,Maryland,Anne Arundel,24,3,2024-08-02,54,Moderate,Ozone,24-003-1004,1
80325,Maryland,Anne Arundel,24,3,2024-08-03,44,Good,Ozone,24-003-1004,1
80326,Maryland,Anne Arundel,24,3,2024-08-04,39,Good,Ozone,24-003-1004,1
80327,Maryland,Anne Arundel,24,3,2024-08-05,61,Moderate,Ozone,24-003-1004,1
80328,Maryland,Anne Arundel,24,3,2024-08-06,51,Moderate,Ozone,24-003-1004,1
80329,Maryland,Anne Arundel,24,3,2024-08-07,29,Good,Ozone,24-003-1004,1
80330,Maryland,Anne Arundel,24,3,2024-08-08,21,Good,Ozone,24-003-1004,1
80331,Maryland,Anne Arundel,24,3,2024-08-09,27,Good,Ozone,24-003-1004,1
80332,Maryland,Anne Arundel,24,3,2024-08-10,51,Moderate,Ozone,24-003-1004,1
80333,Maryland,Anne Arundel,24,3,2024-08-11,41,Good,Ozone,24-003-1004,1
80334,Maryland,Anne Arundel,24,3,2024-08-12,44,Good,Ozone,24-003-1004,1
80335,Maryland,Anne Arundel,24,3,2024-08-13,39,Good,Ozone,24-003-1004,1
80336,Maryland,Anne Arundel,24,3,2024-08-14,44,Good,Ozone,24-003-1004,1
80337,Maryland,Anne Arundel,24,3,2024-08-15,43,Good,Ozone,24-003-1004,1
80338,Maryland,Anne Arundel,24,3,2024-08-16,54,Moderate,Ozone,24-003-1004,1
80339,Maryland,Anne Arundel,24,3,2024-08-17,37,Good,Ozone,24-003-1004,1
80340,Maryland,Anne Arundel,24,3,2024-08-18,35,Good,Ozone,24-003-1004,1
80341,Maryland,Anne Arundel,24,3,2024-08-19,34,Good,Ozone,24-003-1004,1
80342,Maryland,Anne Arundel,24,3,2024-08-20,35,Good,Ozone,24-003-1004,1
80343,Maryland,Anne Arundel,24,3,2024-08-21,33,Good,Ozone,24-003-1004,1
80344,Maryland,Anne Arundel,24,3,2024-08-22,40,Good,Ozone,24-003-1004,1
80345,Maryland,Anne Arundel,24,3,2024-08-23,74,Moderate,Ozone,24-003-1004,1
80346,Maryland,Anne Arundel,24,3,2024-08-24,77,Moderate,Ozone,24-003-1004,1
80347,Maryland,Anne Arundel,24,3,2024-08-25,67,Moderate,Ozone,24-003-1004,1
80348,Maryland,Anne Arundel,24,3,2024-08-26,61,Moderate,Ozone,24-003-1004,1
80349,Maryland,Anne Arundel,24,3,2024-08-27,93,Moderate,Ozone,24-003-1004,1
80350,Maryland,Anne Arundel,24,3,2024-08-28,84,Moderate,Ozone,24-003-1004,1
80351,Maryland,Anne Arundel,24,3,2024-08-29,42,Good,Ozone,24-003-1004,1
80352,Maryland,Anne Arundel,24,3,2024-08-30,20,Good,Ozone,24-003-1004,1
80353,Maryland,Anne Arundel,24,3,2024-08-31,31,Good,Ozone,24-003-1004,1
80354,Maryland,Anne Arundel,24,3,2024-09-01,39,Good,Ozone,24-003-1004,1
80355,Maryland,Anne Arundel,24,3,2024-09-02,36,Good,Ozone,24-003-1004,1
80356,Maryland,Anne Arundel,24,3,2024-09-03,44,Good,Ozone,24-003-1004,1
80357,Maryland,Anne Arundel,24,3,2024-09-04,47,Good,Ozone,24-003-1004,1
80358,Maryland,Anne Arundel,24,3,2024-09-06,40,Good,Ozone,24-003-1004,1
80359,Maryland,Anne Arundel,24,3,2024-09-07,25,Good,Ozone,24-003-1004,1
80360,Maryland,Anne Arundel,24,3,2024-09-08,37,Good,Ozone,24-003-1004,1
80361,Maryland,Anne Arundel,24,3,2024-09-10,51,Moderate,Ozone,24-003-1004,1
80362,Maryland,Anne Arundel,24,3,2024-09-11,61,Moderate,Ozone,24-003-1004,1
80363,Maryland,Anne Arundel,24,3,2024-09-13,40,Good,Ozone,24-003-1004,1
80364,Maryland,Anne Arundel,24,3,2024-09-15,44,Good,Ozone,24-003-1004,1
80365,Maryland,Anne Arundel,24,3,2024-09-16,38,Good,Ozone,24-003-1004,1
80366,Maryland,Anne Arundel,24,3,2024-09-17,31,Good,Ozone,24-003-1004,1
80367,Maryland,Anne Arundel,24,3,2024-09-18,31,Good,Ozone,24-003-1004,1
80368,Maryland,Anne Arundel,24,3,2024-09-19,46,Good,Ozone,24-003-1004,1
80369,Maryland,Anne Arundel,24,3,2024-09-20,54,Moderate,Ozone,24-003-1004,1
80370,Maryland,Anne Arundel,24,3,2024-09-21,40,Good,Ozone,24-003-1004,1
80371,Maryland,Anne Arundel,24,3,2024-09-22,35,Good,Ozone,24-003-1004,1
80372,Maryland,Anne Arundel,24,3,2024-09-23,28,Good,Ozone,24-003-1004,1
80373,Maryland,Anne Arundel,24,3,2024-09-24,29,Good,Ozone,24-003-1004,1
80374,Maryland,Anne Arundel,24,3,2024-09-25,21,Good,Ozone,24-003-1004,1
80375,Maryland,Anne Arundel,24,3,2024-09-26,19,Good,Ozone,24-003-1004,1
80376,Maryland,Anne Arundel,24,3,2024-09-27,16,Good,Ozone,24-003-1004,1
80377,Maryland,Anne Arundel,24,3,2024-09-28,21,Good,Ozone,24-003-1004,1
80378,Maryland,Anne Arundel,24,3,2024-09-29,19,Good,Ozone,24-003-1004,1
80379,Maryland,Anne Arundel,24,3,2024-09-30,19,Good,Ozone,24-003-1004,1
80380,Maryland,Anne Arundel,24,3,2024-10-01,22,Good,Ozone,24-003-1004,1
80381,Maryland,Anne Arundel,24,3,2024-10-02,17,Good,Ozone,24-003-1004,1
80382,Maryland,Anne Arundel,24,3,2024-10-03,29,Good,Ozone,24-003-1004,1
80383,Maryland,Anne Arundel,24,3,2024-10-04,29,Good,Ozone,24-003-1004,1
80384,Maryland,Anne Arundel,24,3,2024-10-05,44,Good,Ozone,24-003-1004,1
80385,Maryland,Anne Arundel,24,3,2024-10-06,46,Good,Ozone,24-003-1004,1
80386,Maryland,Anne Arundel,24,3,2024-10-07,38,Good,Ozone,24-003-1004,1
80387,Maryland,Anne Arundel,24,3,2024-10-08,39,Good,Ozone,24-003-1004,1
80388,Maryland,Anne Arundel,24,3,2024-10-09,43,Good,Ozone,24-003-1004,1
80389,Maryland,Anne Arundel,24,3,2024-10-10,21,Good,Ozone,24-003-1004,1
80390,Maryland,Anne Arundel,24,3,2024-10-11,30,Good,Ozone,24-003-1004,1
80391,Maryland,Anne Arundel,24,3,2024-10-12,50,Good,Ozone,24-003-1004,1
80392,Maryland,Anne Arundel,24,3,2024-10-13,45,Good,Ozone,24-003-1004,1
80393,Maryland,Anne Arundel,24,3,2024-10-14,31,Good,Ozone,24-003-1004,1
80394,Maryland,Anne Arundel,24,3,2024-10-15,28,Good,Ozone,24-003-1004,1
80395,Maryland,Anne Arundel,24,3,2024-10-16,28,Good,Ozone,24-003-1004,1
80396,Maryland,Anne Arundel,24,3,2024-10-17,31,Good,Ozone,24-003-1004,1
80397,Maryland,Anne Arundel,24,3,2024-10-18,32,Good,Ozone,24-003-1004,1
80398,Maryland,Anne Arundel,24,3,2024-10-19,31,Good,Ozone,24-003-1004,1
80399,Maryland,Anne Arundel,24,3,2024-10-20,44,Good,Ozone,24-003-1004,1
80400,Maryland,Anne Arundel,24,3,2024-10-21,61,Moderate,Ozone,24-003-1004,1
80401,Maryland,Anne Arundel,24,3,2024-10-22,51,Moderate,Ozone,24-003-1004,1
80402,Maryland,Anne Arundel,24,3,2024-10-23,49,Good,Ozone,24-003-1004,1
80403,Maryland,Anne Arundel,24,3,2024-10-24,34,Good,Ozone,24-003-1004,1
80404,Maryland,Anne Arundel,24,3,2024-10-25,31,Good,Ozone,24-003-1004,1
80405,Maryland,Anne Arundel,24,3,2024-10-26,37,Good,Ozone,24-003-1004,1
80406,Maryland,Anne Arundel,24,3,2024-10-27,31,Good,Ozone,24-003-1004,1
80407,Maryland,Anne Arundel,24,3,2024-10-28,33,Good,Ozone,24-003-1004,1
80408,Maryland,Anne Arundel,24,3,2024-10-29,37,Good,Ozone,24-003-1004,1
80409,Maryland,Anne Arundel,24,3,2024-10-30,32,Good,Ozone,24-003-1004,1
80410,Maryland,Anne Arundel,24,3,2024-10-31,36,Good,Ozone,24-003-1004,1
